Species,Temp.treatment,Temp.value,Replicate,Fitness,y0,y0_lm,lag,r2
Bigelowiellia natans,low,14,BnR1,0.0025830700046212485,0.05079999938607216,0.046517166374559445,34.096996414821675,0.8745176906041452
Bigelowiellia natans,low,14,BnR10,0.004898266114079643,0.04729999974370003,0.03579466886384727,56.89999597572366,0.7182999303375149
Bigelowiellia natans,opt,18,BnR10,0.009126585945093808,0.052799999713897705,0.035026272092367736,44.96892667701484,0.9022042164832895
Bigelowiellia natans,high,30,BnR10,0.0027489652289754336,0.047600001096725464,0.04762232407439435,-0.1705587874427022,0.7123573302527626
Bigelowiellia natans,high,30,BnR11,0.0037833016556309933,0.04830000177025795,0.047676992265590835,3.4315683501444374,0.9886889250978325
Bigelowiellia natans,low,14,BnR12,0.0037786830042240414,0.0471000000834465,0.03732253685144975,61.57585942242851,0.8939164564716495
Bigelowiellia natans,opt,18,BnR12,0.008434714471113172,0.051600001752376556,0.033524316318633715,51.128069852943334,0.960377243632967
Bigelowiellia natans,high,30,BnR12,0.0033218602063904284,0.04749999940395355,0.0468005459629867,4.4658200042166944,0.9698701686910947
Bigelowiellia natans,low,14,BnR2,0.002909102510879613,0.048700001090765,0.04196922237627246,51.130031630393646,0.843899354457311
Bigelowiellia natans,opt,18,BnR2,0.007415655706683419,0.054999999701976776,0.03352862886310029,66.74170600518057,0.9476520186922448
Bigelowiellia natans,low,14,BnR3,0.003927373964809106,0.05040000006556511,0.04185130610204761,47.32632350934972,0.9538477431631794
Bigelowiellia natans,high,30,BnR3,0.0016725596293740432,0.05209999904036522,0.049854153684658585,26.344719175082723,0.9340957429433998
Bigelowiellia natans,low,14,BnR4,0.002995959992636823,0.04839999973773956,0.045617532174143514,19.762509619135358,0.8966082230793245
Bigelowiellia natans,opt,18,BnR4,0.003224499556998027,0.05169999971985817,0.05177082800780265,-0.4245770965262044,0.8732473295543735
Bigelowiellia natans,high,30,BnR4,0.001697060067454596,0.04910000041127205,0.048326858844081756,9.3523815988593,0.808339244007393
Bigelowiellia natans,low,14,BnR5,0.0036451534739092065,0.05000000074505806,0.041219158501603424,52.9798981760107,0.7211561421802534
Bigelowiellia natans,opt,18,BnR5,0.005697835609326037,0.057500001043081284,0.044327942430164996,45.66115117076217,0.9468184828407524
Bigelowiellia natans,high,30,BnR5,0.0028664072765876626,0.04820000007748604,0.04728697294255356,6.671828784551998,0.9335660708256066
Bigelowiellia natans,low,14,BnR6,0.004069942422464418,0.04809999838471413,0.041169538518030194,38.22744914838351,0.7340600591231535
Bigelowiellia natans,opt,18,BnR6,0.006225269827192737,0.05400000140070915,0.042606492406681386,38.06701291764884,0.9774025310001974
Bigelowiellia natans,high,30,BnR6,0.0032095446047401216,0.04960000142455101,0.048757956265598014,5.334860544053421,0.9379325879664938
Bigelowiellia natans,low,14,BnR7,0.003743492455756506,0.04919999837875366,0.04103342360798285,48.485912056544244,0.9390010399480364
Bigelowiellia natans,opt,18,BnR7,0.0052234083725947855,0.052000001072883606,0.0430874626887937,35.99405979781405,0.9802098137144887
Bigelowiellia natans,high,30,BnR7,0.0031492564327034213,0.05000000074505806,0.04875760266963962,7.989785330181918,0.8397625468317247
Bigelowiellia natans,low,14,BnR8,0.0033306186558174564,0.049400001764297485,0.04163769263737204,51.32518835959158,0.9765933982648147
Bigelowiellia natans,opt,18,BnR8,0.005867808941385674,0.052000001072883606,0.041043410777865,40.32398388320784,0.9866156240504718
Bigelowiellia natans,high,30,BnR8,0.0016205853292210672,0.04969999939203262,0.050750729362733595,-12.909575479324742,0.7565952578970231
Bigelowiellia natans,low,14,BnR9,0.004716659270799788,0.04820000007748604,0.03602243054976119,61.74226092867513,0.8733960010929348
Bigelowiellia natans,opt,18,BnR9,0.007435074893081663,0.051100000739097595,0.03519777568967565,50.14093698599797,0.9570614345211361
Bigelowiellia natans,high,30,BnR9,0.003136026948755482,0.04740000143647194,0.046565810600145634,5.6618343996541896,0.9454875580283492
