Block,Temp.treatment,Temp.value,Time,Num.nondisp,Num.disp
2,low,25,24,15,0
2,low,25,48,6,4
2,low,25,72,6,3
2,low,25,24,13,1
2,low,25,48,6,6
2,low,25,72,3,8
2,low,25,24,11,1
2,low,25,48,7,4
2,low,25,72,4,6
2,low,25,24,11,0
2,low,25,48,5,2
2,low,25,72,4,3
2,low,25,24,10,2
2,low,25,48,5,4
2,low,25,72,2,5
2,low,25,24,9,9
2,low,25,48,8,8
2,low,25,72,5,6
2,low,25,24,14,0
2,low,25,48,11,0
2,low,25,72,10,0
2,low,25,24,15,0
2,low,25,48,13,0
2,low,25,72,12,0
2,low,25,24,15,0
2,low,25,48,13,0
2,low,25,72,10,0
2,low,25,24,12,0
2,low,25,48,7,0
2,low,25,72,4,0
1,high,36,24,9,2
1,high,36,48,4,4
1,high,36,72,0,0
1,high,36,24,6,3
1,high,36,48,3,4
1,high,36,72,1,1
1,high,36,24,7,3
1,high,36,48,6,1
1,high,36,72,0,0
1,high,36,24,10,2
1,high,36,48,3,5
1,high,36,72,3,0
1,high,36,24,7,3
1,high,36,48,2,2
1,high,36,72,1,0
1,high,36,24,7,2
1,high,36,48,3,2
1,high,36,72,2,1
1,high,36,24,6,6
1,high,36,48,5,4
1,high,36,72,1,1
1,high,36,24,11,0
1,high,36,48,5,3
1,high,36,72,2,1
1,high,36,24,9,2
1,high,36,48,3,2
1,high,36,72,1,0
1,high,36,24,12,0
1,high,36,48,6,0
1,high,36,72,2,0
1,high,36,24,8,4
1,high,36,48,3,2
1,high,36,72,1,1
1,high,36,24,12,2
1,high,36,48,5,1
1,high,36,72,2,0
1,high,36,24,8,0
1,high,36,48,5,0
1,high,36,72,0,0
1,high,36,24,6,1
1,high,36,48,4,0
1,high,36,72,1,0
1,high,36,24,6,0
1,high,36,48,4,1
1,high,36,72,0,0
1,high,36,24,5,2
1,high,36,48,3,1
1,high,36,72,0,0
2,high,36,24,6,6
2,high,36,48,1,2
2,high,36,72,1,0
2,high,36,24,5,9
2,high,36,48,2,3
2,high,36,72,0,2
2,high,36,24,6,4
2,high,36,48,4,4
2,high,36,72,2,1
2,high,36,24,13,1
2,high,36,48,4,0
2,high,36,72,1,0
2,high,36,24,11,2
2,high,36,48,8,3
2,high,36,72,3,1
2,high,36,24,9,4
2,high,36,48,5,2
2,high,36,72,1,0
2,high,36,24,11,2
2,high,36,48,4,2
2,high,36,72,1,1
2,high,36,24,8,1
2,high,36,48,2,1
2,high,36,72,0,1
2,high,36,24,12,2
2,high,36,48,3,2
2,high,36,72,1,1
2,high,36,24,10,1
2,high,36,48,6,1
2,high,36,72,1,2
2,high,36,24,8,4
2,high,36,48,4,2
2,high,36,72,1,2
2,high,36,24,14,0
2,high,36,48,4,0
2,high,36,72,1,0
2,high,36,24,13,0
2,high,36,48,5,2
2,high,36,72,3,1
2,high,36,24,11,0
2,high,36,48,5,2
2,high,36,72,2,1
2,high,36,24,9,0
2,high,36,48,4,0
2,high,36,72,0,0
