"","X","Mesocosm","Temp.value","ID","Survival","Death_Date","Dispersal","Disp_Date","Temp.treatment"
"61",61,5,16,61,0,"21-Aug-24",0,"","low"
"62",62,5,16,62,0,"28-Aug-24",0,"","low"
"63",63,5,16,63,1,"",1,"25-Aug-24","low"
"64",64,5,16,64,0,"26-Aug-24",0,"","low"
"65",65,5,16,65,0,"26-Aug-24",0,"","low"
"66",66,6,16,66,1,"",0,"","low"
"67",67,6,16,67,1,"",0,"","low"
"68",68,6,16,68,1,"",0,"","low"
"69",69,6,16,69,1,"",0,"","low"
"70",70,6,16,70,0,"20-Aug-24",0,"","low"
"71",71,6,16,71,1,"",0,"","low"
"72",72,6,16,72,1,"",0,"","low"
"73",73,6,16,73,1,"",0,"","low"
"74",74,6,16,74,1,"",1,"28-Aug-24","low"
"75",75,6,16,75,1,"",0,"","low"
"76",76,6,16,76,1,"",0,"","low"
"77",77,6,16,77,1,"",1,"28-Aug-24","low"
"78",78,6,16,78,1,"",1,"28-Aug-24","low"
"79",79,7,30,79,1,"",1,"30-Aug-24","high"
"80",80,7,30,80,1,"",0,"","high"
"81",81,7,30,81,1,"",0,"","high"
"82",82,7,30,82,1,"",0,"","high"
"83",83,7,30,83,1,"",1,"24-Aug-24","high"
"84",84,7,30,84,1,"",0,"","high"
"85",85,7,30,85,1,"",1,"22-Aug-24","high"
"86",86,7,30,86,1,"",0,"","high"
"87",87,7,30,87,1,"",1,"24-Aug-24","high"
"88",88,7,30,88,1,"",1,"27-Aug-24","high"
"89",89,7,30,89,0,"28-Aug-24",0,"","high"
"90",90,7,30,90,1,"",1,"25-Aug-24","high"
"91",91,7,30,91,0,"29-Aug-24",0,"","high"
"92",92,8,16,92,1,"",0,"","low"
"93",93,8,16,93,1,"",1,"28-Aug-24","low"
"94",94,8,16,94,1,"",0,"","low"
"95",95,8,16,95,1,"",0,"","low"
"96",96,8,16,96,1,"",0,"","low"
"97",97,8,16,97,1,"",1,"25-Aug-24","low"
"98",98,8,16,98,1,"",0,"","low"
"99",99,8,16,99,1,"",0,"","low"
"100",100,8,16,100,1,"",0,"","low"
"101",101,8,16,101,1,"",0,"","low"
"102",102,8,16,102,1,"",0,"","low"
"103",103,8,16,103,1,"",0,"","low"
"104",104,8,16,104,1,"",0,"","low"
"105",105,9,30,105,1,"",1,"30-Aug-24","high"
"106",106,9,30,106,1,"",0,"","high"
"107",107,9,30,107,0,"27-Aug-24",0,"","high"
"108",108,9,30,108,0,"20-Aug-24",0,"","high"
"109",109,9,30,109,1,"",1,"23-Aug-24","high"
"110",110,9,30,110,0,"20-Aug-24",0,"","high"
"111",111,9,30,111,0,"29-Aug-24",0,"","high"
"112",112,9,30,112,0,"27-Aug-24",0,"","high"
"113",113,9,30,113,1,"",1,"25-Aug-24","high"
"114",114,9,30,114,1,"",1,"24-Aug-24","high"
"115",115,9,30,115,0,"26-Aug-24",0,"","high"
"116",116,9,30,116,0,"27-Aug-24",0,"","high"
"117",117,9,30,117,1,"",0,"","high"
"118",118,10,26,118,1,"",1,"21-Aug-24","opt"
"119",119,10,26,119,1,"",1,"24-Aug-24","opt"
"120",120,10,26,120,1,"",0,"","opt"
"121",121,10,26,121,1,"",0,"","opt"
"122",122,10,26,122,0,"20-Aug-24",0,"","opt"
"123",123,10,26,123,0,"20-Aug-24",0,"","opt"
"124",124,10,26,124,1,"",0,"","opt"
"125",125,10,26,125,1,"",0,"","opt"
"126",126,10,26,126,0,"20-Aug-24",0,"","opt"
"127",127,10,26,127,1,"",0,"","opt"
"128",128,10,26,128,1,"",1,"25-Aug-24","opt"
"129",129,10,26,129,1,"",1,"23-Aug-24","opt"
"130",130,10,26,130,1,"",0,"","opt"
"131",131,11,30,131,1,"",0,"","high"
"132",132,11,30,132,1,"",0,"","high"
"133",133,11,30,133,1,"",0,"","high"
"134",134,11,30,134,0,"20-Aug-24",0,"","high"
"135",135,11,30,135,0,"28-Aug-24",0,"","high"
"136",136,11,30,136,0,"26-Aug-24",0,"","high"
"137",137,11,30,137,0,"27-Aug-24",0,"","high"
"138",138,11,30,138,0,"20-Aug-24",0,"","high"
"139",139,11,30,139,0,"29-Aug-24",0,"","high"
"140",140,11,30,140,0,"28-Aug-24",0,"","high"
"141",141,11,30,141,1,"",1,"24-Aug-24","high"
"142",142,11,30,142,0,"27-Aug-24",0,"","high"
"143",143,11,30,143,1,"",1,"23-Aug-24","high"
"144",144,12,16,144,1,"",0,"","low"
"145",145,12,16,145,1,"",1,"24-Aug-24","low"
"146",146,12,16,146,1,"",0,"","low"
"147",147,12,16,147,1,"",0,"","low"
"148",148,12,16,148,1,"",0,"","low"
"149",149,12,16,149,1,"",0,"","low"
"150",150,12,16,150,1,"",0,"","low"
"151",151,12,16,151,1,"",0,"","low"
"152",152,12,16,152,0,"23-Aug-24",0,"","low"
"153",153,12,16,153,1,"",0,"","low"
"154",154,12,16,154,1,"",1,"26-Aug-24","low"
"155",155,12,16,155,1,"",0,"","low"
"156",156,12,16,156,1,"",0,"","low"
"157",157,13,26,157,0,"27-Aug-24",0,"","opt"
"158",158,13,26,158,1,"",0,"","opt"
"159",159,13,26,159,1,"",0,"","opt"
