Species,Strain,Temp.treatment,Temp.value,Replicate,Fitness,y0,y0_lm,lag,r2
Aphanomyces euteiches,Fifi46,medium.low1,22,Fifi46R3,0.016475927,0.096500002,0.072131866,17.66499125,0.998129568
Aphanomyces euteiches,Fifi46,medium.low1,22,Fifi46R4,0.01774065,0.100900002,0.062561857,26.94231469,0.996627317
Aphanomyces euteiches,Fifi46,medium.low1,22,Fifi46R5,0.015532295,0.097400002,0.077660907,14.58086001,0.996458694
Aphanomyces euteiches,Fifi46,medium.low1,22,Fifi46R6,0.016203968,0.107000001,0.069490264,26.63805553,0.996172107
Aphanomyces euteiches,Fifi46,medium.low1,22,Fifi46R7,0.01913136,0.090700001,0.056498747,24.74151904,0.998680495
Aphanomyces euteiches,Fifi46,medium.low1,22,Fifi46R8,0.01445407,0.0999,0.084021398,11.97573985,0.996820019
Aphanomyces euteiches,Fifi46,medium.low1,22,Fifi46R9,0.016413739,0.1052,0.069249631,25.47533364,0.9974368
Aphanomyces euteiches,RB84,opt2,22,RB84R1,0.022124838,0.099200003,0.039923034,41.13858771,0.996646003
Aphanomyces euteiches,RB84,opt2,22,RB84R10,0.019609771,0.111100003,0.04651107,44.40339339,0.99888487
Aphanomyces euteiches,RB84,opt2,22,RB84R11,0.022314513,0.098099999,0.039823987,40.40052043,0.995349337
Aphanomyces euteiches,RB84,opt2,22,RB84R12,0.019400922,0.102399997,0.052552652,34.38347487,0.996793803
Aphanomyces euteiches,RB84,opt2,22,RB84R2,0.019990863,0.1039,0.053208806,33.47554237,0.995628549
Aphanomyces euteiches,RB84,opt2,22,RB84R3,0.02276686,0.088399999,0.03289663,43.41844794,0.996366748
Aphanomyces euteiches,RB84,opt2,22,RB84R4,0.021158303,0.0995,0.048072006,34.38166273,0.995669654
Aphanomyces euteiches,RB84,opt2,22,RB84R5,0.018655273,0.098800004,0.04692156,39.91473935,0.994350411
Aphanomyces euteiches,RB84,opt2,22,RB84R6,0.020913654,0.103799999,0.045833349,39.08709535,0.993977561
Aphanomyces euteiches,RB84,opt2,22,RB84R7,0.020264041,0.090300001,0.038239136,42.40407817,0.9950217
Aphanomyces euteiches,RB84,opt2,22,RB84R8,0.020756578,0.099399999,0.041879801,41.64214753,0.99730276
Aphanomyces euteiches,RB84,opt2,22,RB84R9,0.017022103,0.108400002,0.055625797,39.19498252,0.995573417
