Species,Strain,Temp.treatment,Temp.value,Replicate,Fitness,y0,y0_lm,lag,r2
Aphanomyces euteiches,Fifi46,low,14,Fifi46R1,0.009625544621257816,0.09690000116825104,0.05258439809937938,63.50394635730555,0.9954409424554601
Aphanomyces euteiches,Fifi46,low,14,Fifi46R10,0.009327160233934912,0.11800000071525574,0.07403053211043151,49.98381228985813,0.9977179329654787
Aphanomyces euteiches,Fifi46,low,14,Fifi46R11,0.009636797076509922,0.09889999777078629,0.07023384713303453,35.517907624854764,0.997080954147101
Aphanomyces euteiches,Fifi46,low,14,Fifi46R12,0.008644304358638773,0.1005999967455864,0.07551734913494851,33.17673622919087,0.9957158875192789
Aphanomyces euteiches,Fifi46,low,14,Fifi46R2,0.009365216656035562,0.10809999704360962,0.06428879901948141,55.48950964805284,0.9943151240108382
Aphanomyces euteiches,Fifi46,low,14,Fifi46R3,0.00954355131956877,0.09269999712705612,0.054394347896891036,55.86056743646625,0.9976216108851264
Aphanomyces euteiches,Fifi46,low,14,Fifi46R4,0.009508200251353429,0.10109999775886536,0.0628478097735076,49.99831780306173,0.9975228097915424
Aphanomyces euteiches,Fifi46,low,14,Fifi46R5,0.010371517159661413,0.10580000281333923,0.05774748698313465,58.37822024329082,0.992358565151811
Aphanomyces euteiches,Fifi46,low,14,Fifi46R6,0.009647786202335515,0.1062999963760376,0.06770049723420714,46.76427495717893,0.9968405013887469
Aphanomyces euteiches,Fifi46,low,14,Fifi46R7,0.009634052933482604,0.09700000286102295,0.06287079856253107,45.01004996259691,0.9926597629774943
Aphanomyces euteiches,Fifi46,low,14,Fifi46R8,0.009434572782171365,0.09640000015497208,0.055089095940575074,59.308928489260005,0.9986595632349163
Aphanomyces euteiches,Fifi46,low,14,Fifi46R9,0.009501414713031975,0.11959999799728394,0.07364171223720152,51.038843358343186,0.9881177534099672
Aphanomyces euteiches,Fifi46,opt,22,Fifi46R1,0.019219592638798515,0.09650000184774399,0.05514516130195752,29.11477018288822,0.9963208980940863
Aphanomyces euteiches,Fifi46,opt,22,Fifi46R10,0.014869359355898676,0.11100000143051147,0.07556974808099602,25.856807919908153,0.9990086771405859
Aphanomyces euteiches,Fifi46,opt,22,Fifi46R11,0.017839969139983206,0.10159999877214432,0.06556897645140357,24.54829688789365,0.997905662544264
Aphanomyces euteiches,Fifi46,opt,22,Fifi46R12,0.015694868950136404,0.09920000284910202,0.07775361785711792,15.520547631484558,0.9971571890233065
Aphanomyces euteiches,Fifi46,opt,22,Fifi46R2,0.017121549385404264,0.10670000314712524,0.0680976243844082,26.22886804051167,0.9974568646080233
Aphanomyces euteiches,Fifi46,opt,22,Fifi46R3,0.016475926929524123,0.09650000184774399,0.07213186645006636,17.664991254211433,0.9981295682570405
Aphanomyces euteiches,Fifi46,opt,22,Fifi46R4,0.017740649720976824,0.10090000182390213,0.0625618569121003,26.942314687347242,0.9966273165967052
Aphanomyces euteiches,Fifi46,opt,22,Fifi46R5,0.015532295324564313,0.09740000218153,0.07766090745505456,14.580860014877834,0.996458693929304
Aphanomyces euteiches,Fifi46,opt,22,Fifi46R6,0.016203967658212918,0.10700000077486038,0.06949026365753011,26.638055525019876,0.9961721066120188
Aphanomyces euteiches,Fifi46,opt,22,Fifi46R7,0.019131359764125437,0.09070000052452087,0.0564987470043552,24.741519042430852,0.9986804954890185
Aphanomyces euteiches,Fifi46,opt,22,Fifi46R8,0.014454070161300441,0.09989999979734421,0.08402139758511055,11.975739852776355,0.9968200194113643
Aphanomyces euteiches,Fifi46,opt,22,Fifi46R9,0.016413739472923496,0.10520000010728836,0.0692496306801281,25.475333643437043,0.997436800415246
Aphanomyces euteiches,Fifi46,high,26,Fifi46R1,0.019517658875196787,0.09480000287294388,0.0641529994282585,20.00745046389288,0.9985819963646267
Aphanomyces euteiches,Fifi46,high,26,Fifi46R10,0.019577121950617827,0.10729999840259552,0.06635526263736921,24.5493470396624,0.9992218141517193
Aphanomyces euteiches,Fifi46,high,26,Fifi46R11,0.019614928680536756,0.10530000180006027,0.07088769017710313,20.174258420269535,0.9986640371955277
Aphanomyces euteiches,Fifi46,high,26,Fifi46R12,0.017981227283536384,0.1005999967455864,0.07423804429424039,16.899596196209625,0.9989878387881079
Aphanomyces euteiches,Fifi46,high,26,Fifi46R2,0.020239672300841942,0.10899999737739563,0.07147100391419459,20.852908293682972,0.9985555845244318
Aphanomyces euteiches,Fifi46,high,26,Fifi46R3,0.021739845692978942,0.09449999779462814,0.056215599619610646,23.891867808619754,0.9989557131378622
Aphanomyces euteiches,Fifi46,high,26,Fifi46R4,0.018733253412283938,0.10180000215768814,0.06773105456969505,21.75091176305114,0.9991781591009966
Aphanomyces euteiches,Fifi46,high,26,Fifi46R5,0.026218579158112532,0.09700000286102295,0.05004835848137944,25.238640750109997,0.9995641986427254
Aphanomyces euteiches,Fifi46,high,26,Fifi46R6,0.0184924038662727,0.10639999806880951,0.07350136155044582,20.00289583166766,0.9989835149604525
Aphanomyces euteiches,Fifi46,high,26,Fifi46R7,0.01918577617842626,0.09430000185966492,0.06876236130974482,16.46139750456481,0.9970139066866234
Aphanomyces euteiches,Fifi46,high,26,Fifi46R8,0.018450276465176343,0.10090000182390213,0.07201856235988685,18.27647676335593,0.9978330708179685
Aphanomyces euteiches,Fifi46,high,26,Fifi46R9,0.02028170120040162,0.10130000114440918,0.06473338562951168,22.079476621185858,0.9991181050517176
Aphanomyces euteiches,RB84,low,14,RB84R1,0.007328833610939747,0.09759999811649323,0.042420240166489515,113.69501718842426,0.9969574335807764
Aphanomyces euteiches,RB84,low,14,RB84R10,0.007583793256437377,0.11029999703168869,0.04786041956406104,110.09201097496147,0.9852146584767225
Aphanomyces euteiches,RB84,low,14,RB84R11,0.009840975572518262,0.09799999743700027,0.03323905903137363,109.871402818284,0.9836495231400386
Aphanomyces euteiches,RB84,low,14,RB84R12,0.007228451636315878,0.10010000318288803,0.047870620295916884,102.05059035959397,0.9905386355305348
Aphanomyces euteiches,RB84,low,14,RB84R2,0.0073819210486118616,0.10589999705553055,0.04143375099444153,127.12130467250934,0.9974056227189225
Aphanomyces euteiches,RB84,low,14,RB84R4,0.008879109185443452,0.10040000081062317,0.051793761284848715,74.54492314622945,0.9964272871564887
Aphanomyces euteiches,RB84,low,14,RB84R5,0.008477409538413198,0.1046999990940094,0.04025515955084282,112.75389275983713,0.9797373027269443
